id,mensaje,url,leida,creada_en,usuario_id
31,Nueva observación pendiente (CAL-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:18:33.052062+00:00,5
32,Nueva observación pendiente (CAL-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:18:33.052082+00:00,6
33,Nueva observación pendiente (CAL-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:18:33.052101+00:00,1
34,Nueva observación pendiente (CAL-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:18:33.052122+00:00,8
35,Nueva observación pendiente (CAL-001) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:18:33.052142+00:00,9
36,Nueva observación pendiente (CAL-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:27:23.918437+00:00,7
37,Nueva observación pendiente (CAL-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:27:23.924853+00:00,4
38,Nueva observación pendiente (CAL-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:27:23.924869+00:00,5
39,Nueva observación pendiente (CAL-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:27:23.924875+00:00,6
40,Nueva observación pendiente (CAL-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:27:23.924882+00:00,1
41,Nueva observación pendiente (CAL-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:27:23.924889+00:00,8
42,Nueva observación pendiente (CAL-002) en Escuelas Bicentenerario -PAQ5,/obervaciones/proyecto/4/observaciones/,False,2025-06-13 02:27:23.924895+00:00,9
43,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/3/revisar/,False,2025-06-13 02:47:38.408345+00:00,4
44,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/3/revisar/,False,2025-06-13 02:47:38.408360+00:00,5
45,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/3/revisar/,False,2025-06-13 02:47:38.408366+00:00,6
46,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/3/revisar/,False,2025-06-13 02:47:38.408372+00:00,1
47,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/3/revisar/,False,2025-06-13 02:47:38.408378+00:00,8
48,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/3/revisar/,False,2025-06-13 02:47:38.408385+00:00,9
49,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/4/revisar/,False,2025-06-13 02:48:27.733061+00:00,4
50,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/4/revisar/,False,2025-06-13 02:48:27.733086+00:00,5
51,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/4/revisar/,False,2025-06-13 02:48:27.733094+00:00,6
52,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/4/revisar/,False,2025-06-13 02:48:27.733102+00:00,1
53,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/4/revisar/,False,2025-06-13 02:48:27.733109+00:00,8
54,Nuevo levantamiento pendiente de revisión para la observación CAL-002,/obervaciones/proyecto/4/levantamientos/4/revisar/,False,2025-06-13 02:48:27.733115+00:00,9
